Title,DOI,Journal,Date,Authors,Abstract,PDF_Status
A Comprehensive Review on the Green Synthesis of Nanoparticles Advancements in Biomedical and Environmental Applications,10.1007/s44174-025-00295-4,Biomedical Materials & Devices,2026-03-01,"Kirubakaran, Dharmalingam, Wahid, Jamith Basha Abdul, Karmegam, Natchimuthu, Jeevika, Ravisankar, Sellapillai, Latha, Rajkumar, Manickam, SenthilKumar, K. J.","Green synthesis of nanoparticles has gained significant attention as an eco-friendly and sustainable alternative to conventional chemical and physical methods, leveraging biological resources such as plants, bacteria, fungi and algae. This approach minimizes the use of hazardous chemicals, reduces energy consumption and improves the biocompatibility of nanoparticles, making it particularly suitable for biomedical and environmental applications. This review delves into recent advancements in green synthesis techniques, with a specific focus on the biomolecules involved in stabilizing and enhancing the properties of nanoparticles. The biomedical applications of green synthesized nanoparticles are of particular interest, with promising uses in areas such as drug delivery, bio imaging, antimicrobial therapies and cancer treatment. These nanoparticles offer advantages in terms of targeted delivery, reduced toxicity and improved therapeutic efficacy compared to traditional methods. The review also highlights the challenges faced in scaling up green synthesis processes, ensuring reproducibility, and comprehensively understanding the complex mechanisms behind the formation and functionalization of these nanoparticles. Furthermore, it proposes future research directions to overcome these challenges, including the optimization of synthesis protocols, deeper mechanistic studies and the development of more robust and reproducible techniques. In conclusion, the review underscores the transformative potential of green synthesized nanoparticles in addressing global health and environmental challenges.",Downloaded
Innovative Polymer Modifications Unlocking New Horizons in Drug Delivery Applications,10.1007/s44174-024-00258-1,Biomedical Materials & Devices,2026-03-01,"Jyothika, M., Gowda, S. M. Jeevan, Kumar, G. B. Kiran, Rakshitha, K. B., Srikruthi, K. S., Goudanavar, Prakash, Naveen, Nimbagal Raghavendra","The chemical modification of polymers is essential for enhancing their properties and broadening their applications, particularly in drug delivery systems. This study aims to provide a comprehensive overview of polymer modification by exploring various techniques for surface, bulk, and post-synthetic changes. A literature review and analysis of existing methodologies reveal how these modifications influence industrial, biomedical, and environmental applications, with a specific focus on drug delivery and tissue engineering. Key findings demonstrate significant improvements in drug encapsulation efficiency, controlled release kinetics, and biocompatibility, with statistical analyses confirming these enhancements. Despite these advancements, challenges such as high production costs, environmental impacts, and stability issues persist. The study concludes by outlining future directions for research, emphasizing the importance of innovative drug delivery methods, advanced polymer modification techniques, and the creation of sustainable polymers to address existing limitations and enhance performance in the field.",Downloaded
Dual Functionality of Cobalt Oxide Nanoparticles Exploring Their Potential as Antimicrobial and Anticancer Agents,10.1007/s44174-025-00276-7,Biomedical Materials & Devices,2026-03-01,"Ifijen, Ikhazuagbe Hilary, Faderin, Emmanuel, Okafor, Chibuike Emmanuel, Onyinyechi, Odo Lovelyn, Aworinde, Omowunmi Rebecca, Iorkula, Terungwa H., Fagbolade, Moshood, Adesina, Kolawole Emmanuel, Akodu, Busayo Odunayo, Adeleke, Babatunde Hakeem, Udogu, Uzochukwu, Udokpoh, Nyaknno U.","Cobalt oxide nanoparticles (Co_3O_4 NPs) exhibit promising dual functionality as both antimicrobial and anticancer agents, addressing critical challenges posed by microbial resistance and the limitations of conventional cancer therapies. This review provides an overview of the antimicrobial activity of Co_3O_4 NPs, detailing their mechanisms of action, which include membrane disruption, protein and enzyme dysfunction, and DNA damage. Comparative studies highlight the superior efficacy of Co_3O_4 NPs against various pathogens relative to traditional antimicrobial agents, emphasizing their potential as a viable alternative in combating resistant strains. In addition to their antimicrobial properties, Co_3O_4 NPs demonstrate significant anticancer activity, contributing to advancements in cancer therapy through mechanisms such as reactive oxygen species (ROS) generation, mitochondrial dysfunction, DNA damage, and the induction of apoptosis and autophagy. Despite their therapeutic potential, concerns regarding toxicity and biocompatibility remain, necessitating comprehensive in vitro and in vivo toxicity studies to assess their safety profile. Key challenges to the clinical application of Co_3O_4 NPs include understanding their mechanisms of action, addressing formulation stability, navigating regulatory hurdles, and developing scalable manufacturing processes. Future prospects for Co_3O_4 NPs lie in synergistic therapeutic applications, personalized medicine tailored to individual patient profiles, integration with emerging technologies, and the exploration of combination nanoparticles that enhance therapeutic efficacy. Furthermore, advanced characterization techniques will be pivotal in elucidating the nanoparticle behavior in biological systems, paving the way for clinical trials that validate their safety and efficacy in treating infections and cancer. This comprehensive analysis underscores the potential of Co_3O_4 NPs as a multifaceted platform for combating antimicrobial resistance and advancing cancer therapeutics.",Downloaded
"Microspheres Preparation Methods, Advances, Applications, and Challenges in Drug Delivery",10.1007/s44174-025-00281-w,Biomedical Materials & Devices,2026-03-01,"Bhalala, Krupali, Jadeja, Divyrajsinh, Dudhat, Kiran","Microspheres used as a versatile and efficient drug delivery system. These spherical, biodegradable particles, made from synthetic or natural polymers, range in size from 1 to 1000 µm and offer controlled and targeted drug release. They are widely used in fields such as drug delivery, bone tissue manufacturing, and environmental decontamination. Microspheres are categorized based on their properties and functions, including bio adhesive, magnetic, floating, radioactive, and polymeric types, each contributing to enhanced drug delivery by increasing bioavailability, reducing side effects, and improving patient compliance. Various preparation methods, such as single and double emulsion techniques, polymerization, and spray drying, play a crucial role in their efficiency, while evaluation parameters like particle size, drug entrapment efficiency, and in vitro release studies assess their performance. Recent advancements have significantly enhanced microsphere technology, including superhydrophobic surfaces (SHS) for improved fabrication in photonic devices, protein crystallization, and medical diagnostics. Probiotics-loaded microspheres have shown increased stability and viability in cosmetic and therapeutic formulations. In cancer therapy, microspheres are effectively used in embolization techniques, glioblastoma treatments, and targeted drug delivery systems for lung and prostate cancers. Additionally, eco-friendly dextran microbeads are being utilized in multiplex assays, while optofluidic immunochips aid in detecting myocardial infarction biomarkers. Despite these advancements, challenges such as ensuring stability, uniform size, material selection, and reproducibility remain significant hurdles in developing effective microsphere-based therapies and products. Graphical Abstract ",Downloaded
Enhancing the Capacitance of Flexible Supercapacitors by Utilizing Novel Li- and Co-Based Electrolytes Synthesized from Spent Lithium-Ion Battery Electrodes,10.1007/s11814-025-00557-3,Korean Journal of Chemical Engineering,2026-01-01,"Garcés-Patiño, L. A., Esquivel-Castro, T. A., Galan, S., Mtz-Enriquez, A. I., Ojeda-Galván, H. J., Villabona-Leal, E. G., Rosu, H. C., Perez-Mayen, L., Oliva, J.","To reduce the environmental damage caused by lithium-ion batteries (LIBs) and plastic waste, this study focused on the synthesis of Li-based (AME) and Co-based (PURE) electrolytes using electrodes recycled from spent LIBs obtained from cell phones. In addition, graphene (Gr) based supercapacitor (SC) electrodes were developed using recycled high-density polyethylene as the supporting material. First, reference SCs were made with AME (Gr-AME-SC) and PURE (Gr-PURE-SC) electrolytes, which exhibited specific capacitance/energy–density of 661.0 F g^−1/132.2 W·h kg^−1 and 426.1 F g^−1/85.2 W·h kg^−1, respectively. Next, the TiO_2/MoS_2 (TMS) composite was integrated into the SC electrodes, resulting in a 52.5% increase in specific capacitance for the SC fabricated with AME electrolyte (Gr/TMS-AME-SC) and a 20% increase in capacitance occurred for the device with PURE electrolyte (Gr/TMS-PURE-SC), respectively. Notably, the Gr/TMS-AME-SC device, which used the AME electrolyte, exhibited a specific capacitance that was 97% higher than that of the Gr/TMS-PURE-SC device, which employed the PURE electrolyte. Furthermore, both the Gr/TMS-AME-SC and Gr/TMS-PURE-SC devices exhibited remarkable electrochemical stability, attributed to the high decomposition voltages of the AME (1.51 V) and PURE (1.48 V) electrolytes. Additionally, analyses performed using UV–Vis, Raman, and XPS spectroscopies revealed that oxygen vacancies, together with Ti^3+/Ti^4+, Mo^4+/Mo^6+, and S^2−/S^6+ species, act as redox centers responsible for charge storage by redox reactions in the SC electrodes. Moreover, this study revealed that exposing the SC made with AME electrolyte to sunlight for 2 h enhanced the capacitance to the ultimate value of 1361.8 F g^−1. Hence, SCs studied here could help to reduce the environmental pollution because they were fabricated with materials recycled from spent LIBs.",Downloaded
Hierarchical Architecture of Mesoporous Carbon Wrapped Graphene as Matrix Material of Sulfur for Cathode Material of Lithium-Sulfur Batteries,10.1007/s11664-025-12566-3,Journal of Electronic Materials,2026-01-01,"Xu, Shuntao, Wu, Ruilin, Zhang, Zhengfu, Kong, Weibo, Bao, Lixia","Hierarchical architecture materials of mesoporous carbon wrapped graphene (MC@G) composite are prepared by a sol-gel coating method, MC@G composites are infiltrated with sulfur to prepare cathode material of lithium-sulfur batteries (Li-S) with high discharge capacity at low current. The MC@G was synthesized using graphene as conductive base material and mesoporous carbon shell wrapped on the surface of graphene as a matrix for loading sulfur, which results in high utilization of active material at low current. The hierarchical architecture of MC@G carbon/carbon nanocomposites forms an effective conducting base material for electron transport in electrode material, which significantly improves the electronic conductivity of cathode material and utilization of active material. Taking advantage of the structure, the S/MC@G cathode material exhibits an initial specific discharge capacity of 1158 mA h g^−1 and 1131 mA h g^−1 at current of 0.1 C and 0.5 C, the S/MC@G cathode material exhibits higher capacity retention and rate performance than S/rGO cathode material. We believe that the hierarchical mesoporous architecture of MC@G can also be applicable for designing some other electrode materials for energy storage.",Downloaded
Eutrophication drives resource use efficiency variations in freshwater plankton communities across river–lake continuum in China’s Poyang Lake Basin,10.1007/s10750-025-05943-w,Hydrobiologia,2026-01-01,"Wu, Yuan, Yang, Wei, Liu, Jutao, Li, Xiaoxiao, Cui, Baoshan","Resource use efficiency (RUE) is a crucial ecological indicator to assess nutrient uptake by phytoplankton and grazing by zooplankton. This study estimated the RUE of plankton communities and quantified the relative effects of nutrient levels and physical and chemical factors on RUE in the Fu River to Poyang Lake continuum, revealing significant spatiotemporal differences. Phytoplankton RUE was significantly higher in rivers than that in lakes, while zooplankton RUE was higher in lakes than in rivers. Additionally, RUE was higher during normal and wet seasons compared to dry season. Linear mixed-effects models revealed that eutrophication are the key drivers of phytoplankton RUE in both rivers and lakes, showing negative correlations with Trophic Level Index (TLI) in the river, and with phosphate and nitrate-nitrogen in the lake. Zooplankton RUE is mainly driven by discharge and nitrite-nitrogen in river and lake systems, respectively. These insights underscore the remarkable ecological flexibility of plankton and further offer in-depth valuable perspectives to enhance river and lake water quality, controlling nutrient pollution and enhancing ecological functions.",Downloaded
Short-term Local Phytoplankton Response to Dredging Effects on a Subtropical Large Lowland River,10.1007/s10750-025-05923-0,Hydrobiologia,2026-01-01,"Frau, Diego, Collins, Pablo","This study evaluates the short-term local impact of dredging on phytoplankton assemblages on the Baradero River (Argentina). Samples were taken during winter and early spring in eight sampling points over five months: five points near the dredging area and three points near the disposal. Samples were collected during dredging (three months) and two months after dredging (recovery). Environmental variables, including nutrients, were recorded, and phytoplankton was analyzed using the Phytoplankton Reynolds Functional Groups classification. Phytoplankton groups were organisms adapted to high nutrients and lotic environments. No significant differences were found between the dredging and disposal sites during dredging, but variations in RFG biovolume (not diversity) emerged during recovery in both sampling points (dredging and disposal area) respect to dredging phase. No effect on diversity patterns were found. Changes observed in biovolume during the recovery phase were attributed to reduced water flow rather than dredging itself since changes were observed throughout the whole study area. This study challenges the often-assumed negative impacts of dredging and highlights the resilience of phytoplankton communities under specific environmental conditions, contributing to a better understanding of when and where dredging is least harmful. Such knowledge is essential for minimizing ecological disruption and safeguarding aquatic ecosystem services.",Downloaded
Enhancing pond connectivity impacts on common and rare species of macrophyte in an agricultural multi-pond system,10.1007/s10750-025-05922-1,Hydrobiologia,2026-01-01,"Sun, Junyao, Chen, Yuanyuan, Lv, Xin, Li, Wei, Zhang, Huan","Previous studies have demonstrated differences between common and rare species in dispersal ability and reproductive strategies, leading to distinct responses to environmental and spatial processes. In this study, we collected data from 111 ponds within a multi-pond system, including environmental variables, land use, connectivity variables, and macrophyte species abundance. We aimed to investigate the influence of hydrological connectivity (watercourse dispersal) and geographical connectivity (overland dispersal) on the macrophyte species turnover in ponds, with a specific focus on common and rare species. Our findings emphasized the common macrophytes served as better indicators of species richness than rare species, suggesting that common species played a more significant role in shaping diversity patterns. Results showed that water flow, weighted by watercourse distance, accounted for 5.12% of the variance in species distribution, whereas geographical distance explained only 2.19%, indicating watercourse connectivity is more influential in structuring macrophyte communities than dispersal by wind or animals. For common species, water flow and environmental conditions were crucial for distribution, whereas rare species were influenced by a range of spatial variables. This study enhanced our understanding of ecological dynamics and conservation needs in freshwater habitats, emphasizing the importance of connectivity in supporting diverse aquatic species communities and ecological recovery.",Downloaded
Drivers of metabolism and decomposition in forested Lake Superior tributary streams,10.1007/s10750-025-05913-2,Hydrobiologia,2026-01-01,"Schipper, Renn C., Kelly, Michelle C., Marcarelli, Amy M.","Ecosystem respiration (ER) and decomposition are fundamental carbon cycling processes in streams. Decomposition and ER may be controlled by similar environmental factors, as decomposition is carried out by heterotrophic bacteria, fungi, and macroinvertebrates, whose metabolic activity is a major contributor to ER. However, ER also includes respiration by autotrophs, and their respiration will be affected by factors that influence gross primary production (GPP). We quantified decomposition, GPP, and ER and estimated autotrophic respiration (AR) and heterotrophic respiration (HR) at eight sites in four forested streams in the Upper Peninsula of Michigan. These streams spanned gradients of canopy cover and dissolved organic carbon (DOC) concentrations, which we predicted would differentially affect activity due to changes in light and carbon availability. We also explored relationships between ER, AR, HR, and decomposition with other environmental drivers like temperature and nutrient availability. ER was related to TP concentrations but not DOC or canopy cover, and AR and HR were not related to any environmental drivers. Decomposition was related to canopy cover and dissolved nutrient concentrations, but not DOC. While our results did not demonstrate direct relationships between canopy cover or DOC concentration and respiration rates, we did find a wide variation in the fraction of respiration carried out by autotrophs relative to other studies, and that decomposition rates were comparable across study sites despite differences in GPP and ER. Together, these results suggest a need to improve methods and estimates of AR and HR in forested streams to integrate these important aquatic ecosystems into global climate models.",Downloaded
